,0
0,习＋微薄
1,习＋评价＋江
2,代開销售發嘌
3,伪基站
4,共慘黨強姦民意
5,喷精
6,大纪元网址
7,天灭中共
8,必须旗帜鲜明地反对动乱
9,江習鬥
10,江ze民
11,温佳宝
12,皇冠足球
13,美沙酮
14,舔穴
15,蛤蛤
16,裸干
17,贾佳＋机场分局
18,销售老板通讯录qq
19,销售车主名单
20,雷洋＋下跪
21,驱除共匪
22,1989年5月35日
23,six—four
24,zzy（指赵紫阳）
25,供应氰化钠
26,剿滅共匪
27,包帝习
28,含赵量
29,性虐待
30,插我
31,撸色
32,春晚＋献媚
33,dengjiagui
34,liuxiaobo
35,一中一台
36,一党专制
37,一本道电影
38,专业制作高仿硅胶面具
39,专卖气狗
40,中共土匪
41,中共土匪起家
42,中共色情网
43,中共色情网络
44,中华共匪独裁国
45,九评孙悟空
46,习习蛤蛤
47,习博士
48,习头
49,习明正
50,习明泽
51,习母
52,习狗
53,习皇
54,习近平与他的情人
55,习近平姐夫
56,习近平将出席俄庆典与世界独裁暴政大会
57,习近平＋彭家声
58,习＋之江新军
59,习＋女人
60,习＋妹夫
61,习＋朋友圈
62,习＋炸
63,习＋皇帝
64,习＋胡舒立
65,习＋蔡霞
66,亚洲色图
67,人权奖
68,代办各种证件qq
69,余少镭＋辞职
70,你妈逼里操金庸
71,做爱插得浅
72,做爱要带照相机
73,光天化日＋前中共
74,共匪万寿无疆
75,共匪下岗
76,共匪偷騙色鬥
77,兲朝大法好
78,兼职美女
79,内蒙古独立
80,出售公司法人资料qq
81,出售老板通讯录qq
82,出售警用头盔
83,刁明泽
84,刘云删
85,刘明慧
86,办假驾照
87,办理真凭文
88,南周事件
89,博狗
90,博訊
91,反共产
92,名照＋调查
93,吕加平
